topology,scenario,k,delay,method,mean_mlu,p95_mlu,peak_mlu,overload_0p7,overload_0p9,mean_disturb,mean_decision_ms,sticky_applied_rate,recovery_time,delta_mean_pct,delta_p95_pct,delta_peak_pct,delta_disturb_pct,abl_delta_mean_vs_currapg_pct,abl_delta_p95_vs_currapg_pct,abl_delta_peak_vs_currapg_pct,n_steps
abilene,normal,20,0,phase1,0.052520,0.059781,0.062052,0,0,0.078142,51.15,0.941,-1,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,normal,20,0,current_apg,0.052553,0.059781,0.062052,0,0,0.049561,46.72,0.941,-1,+0.063,-0.000,+0.000,-36.575,+0.000,+0.000,+0.000,51
abilene,normal,20,0,predictive,0.052520,0.059781,0.062052,0,0,0.058785,45.74,0.922,-1,+0.000,-0.000,+0.000,-24.771,-0.063,-0.000,+0.000,51
abilene,normal,20,0,oracle,0.052546,0.059781,0.062052,0,0,0.055042,46.69,0.922,-1,+0.049,+0.000,+0.000,-29.562,-0.014,+0.000,+0.000,51
abilene,normal,20,1,phase1,0.056557,0.065329,0.068095,0,0,0.078142,48.08,0.941,10,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,normal,20,1,current_apg,0.056193,0.064965,0.071365,0,0,0.049561,47.29,0.941,-1,-0.642,-0.557,+4.802,-36.575,+0.000,+0.000,+0.000,51
abilene,normal,20,1,predictive,0.057053,0.066002,0.071692,0,0,0.058785,50.98,0.922,8,+0.878,+1.030,+5.282,-24.771,+1.530,+1.596,+0.458,51
abilene,normal,20,1,oracle,0.056744,0.067355,0.071692,0,0,0.055042,52.47,0.922,8,+0.331,+3.101,+5.282,-29.562,+0.979,+3.679,+0.458,51
abilene,normal,20,2,phase1,0.058479,0.066484,0.071902,0,0,0.078142,42.45,0.941,1,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,normal,20,2,current_apg,0.057856,0.067845,0.075506,0,0,0.049561,41.93,0.941,5,-1.065,+2.047,+5.012,-36.575,+0.000,+0.000,+0.000,51
abilene,normal,20,2,predictive,0.058205,0.071031,0.072845,0,0,0.052221,41.78,0.922,7,-0.469,+6.840,+1.311,-33.171,+0.603,+4.697,-3.524,51
abilene,normal,20,2,oracle,0.058285,0.070815,0.072845,0,0,0.055042,41.78,0.922,1,-0.333,+6.514,+1.311,-29.562,+0.740,+4.378,-3.524,51
abilene,normal,40,0,phase1,0.052516,0.059781,0.062052,0,0,0.034469,43.52,0.980,-1,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,normal,40,0,current_apg,0.052516,0.059781,0.062052,0,0,0.014482,42.69,0.922,-1,-0.000,-0.000,+0.000,-57.986,+0.000,+0.000,+0.000,51
abilene,normal,40,0,predictive,0.052516,0.059781,0.062052,0,0,0.014482,42.48,0.922,-1,-0.000,-0.000,+0.000,-57.986,+0.000,+0.000,+0.000,51
abilene,normal,40,0,oracle,0.052516,0.059781,0.062052,0,0,0.014482,42.55,0.922,-1,-0.000,-0.000,+0.000,-57.986,+0.000,+0.000,+0.000,51
abilene,normal,40,1,phase1,0.055931,0.065348,0.066367,0,0,0.034469,43.38,0.980,10,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,normal,40,1,current_apg,0.055783,0.065000,0.066211,0,0,0.014482,45.60,0.922,9,-0.264,-0.533,-0.235,-57.986,+0.000,+0.000,+0.000,51
abilene,normal,40,1,predictive,0.055783,0.065000,0.066211,0,0,0.014482,44.46,0.922,9,-0.264,-0.533,-0.235,-57.986,+0.000,+0.000,+0.000,51
abilene,normal,40,1,oracle,0.055783,0.065000,0.066211,0,0,0.014482,43.08,0.922,9,-0.264,-0.533,-0.235,-57.986,+0.000,+0.000,+0.000,51
abilene,normal,40,2,phase1,0.057543,0.068014,0.079121,0,0,0.034469,43.20,0.980,1,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,normal,40,2,current_apg,0.056993,0.065895,0.071845,0,0,0.014482,42.29,0.922,-1,-0.955,-3.115,-9.196,-57.986,+0.000,+0.000,+0.000,51
abilene,normal,40,2,predictive,0.056993,0.065895,0.071845,0,0,0.014482,42.72,0.922,-1,-0.955,-3.115,-9.196,-57.986,+0.000,+0.000,+0.000,51
abilene,normal,40,2,oracle,0.056993,0.065895,0.071845,0,0,0.014482,42.35,0.922,-1,-0.955,-3.115,-9.196,-57.986,+0.000,+0.000,+0.000,51
abilene,spike_2x,10,0,phase1,0.061275,0.068793,0.069724,0,0,0.048654,36.35,0.686,1,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,spike_2x,10,0,current_apg,0.056057,0.066949,0.069554,0,0,0.047085,39.59,0.843,2,-8.515,-2.681,-0.245,-3.224,+0.000,+0.000,+0.000,51
abilene,spike_2x,10,0,predictive,0.056057,0.066949,0.069554,0,0,0.047085,39.56,0.843,2,-8.515,-2.681,-0.245,-3.224,+0.000,+0.000,+0.000,51
abilene,spike_2x,10,0,oracle,0.056207,0.066949,0.069554,0,0,0.043104,39.17,0.804,2,-8.271,-2.681,-0.245,-11.407,+0.267,+0.000,+0.000,51
abilene,spike_2x,10,1,phase1,0.064391,0.072902,0.075970,0,0,0.048654,36.24,0.686,2,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,spike_2x,10,1,current_apg,0.060192,0.073872,0.077312,0,0,0.047085,40.84,0.843,9,-6.521,+1.331,+1.766,-3.224,+0.000,+0.000,+0.000,51
abilene,spike_2x,10,1,predictive,0.060192,0.073872,0.077312,0,0,0.047085,40.59,0.843,9,-6.521,+1.331,+1.766,-3.224,+0.000,+0.000,+0.000,51
abilene,spike_2x,10,1,oracle,0.060411,0.073872,0.077312,0,0,0.043104,39.74,0.804,9,-6.182,+1.331,+1.766,-11.407,+0.363,+0.000,+0.000,51
abilene,spike_2x,10,2,phase1,0.065914,0.072212,0.090581,0,0,0.048654,37.25,0.686,3,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,spike_2x,10,2,current_apg,0.061463,0.075672,0.081493,0,0,0.047085,39.48,0.843,2,-6.753,+4.791,-10.034,-3.224,+0.000,+0.000,+0.000,51
abilene,spike_2x,10,2,predictive,0.061862,0.075672,0.081493,0,0,0.047722,39.15,0.784,2,-6.147,+4.791,-10.034,-1.916,+0.649,+0.000,+0.000,51
abilene,spike_2x,10,2,oracle,0.061628,0.075672,0.081493,0,0,0.043104,39.21,0.804,2,-6.503,+4.791,-10.034,-11.407,+0.268,+0.000,+0.000,51
abilene,spike_2x,20,0,phase1,0.055443,0.066949,0.069554,0,0,0.072006,43.27,0.941,2,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,spike_2x,20,0,current_apg,0.055443,0.066949,0.069554,0,0,0.055049,42.49,0.941,2,+0.000,-0.000,+0.000,-23.550,+0.000,+0.000,+0.000,51
abilene,spike_2x,20,0,predictive,0.055443,0.066949,0.069554,0,0,0.053007,41.26,0.922,2,-0.000,-0.000,+0.000,-26.386,-0.000,-0.000,+0.000,51
abilene,spike_2x,20,0,oracle,0.055443,0.066949,0.069554,0,0,0.055049,42.35,0.941,2,+0.000,-0.000,+0.000,-23.550,+0.000,+0.000,+0.000,51
abilene,spike_2x,20,1,phase1,0.060039,0.073507,0.080023,0,0,0.072006,43.59,0.941,9,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,spike_2x,20,1,current_apg,0.060023,0.074792,0.079186,0,0,0.055049,42.60,0.941,9,-0.027,+1.747,-1.046,-23.550,+0.000,+0.000,+0.000,51
abilene,spike_2x,20,1,predictive,0.060420,0.072016,0.080336,0,0,0.053007,41.40,0.922,2,+0.635,-2.029,+0.391,-26.386,+0.662,-3.712,+1.453,51
abilene,spike_2x,20,1,oracle,0.060023,0.074792,0.079186,0,0,0.055049,41.99,0.941,9,-0.027,+1.747,-1.046,-23.550,+0.000,+0.000,+0.000,51
abilene,spike_2x,20,2,phase1,0.062142,0.079107,0.083583,0,0,0.072006,41.73,0.941,1,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,spike_2x,20,2,current_apg,0.061798,0.078875,0.083840,0,0,0.055049,41.72,0.941,1,-0.553,-0.294,+0.308,-23.550,+0.000,+0.000,+0.000,51
abilene,spike_2x,20,2,predictive,0.061798,0.078875,0.083840,0,0,0.055049,41.84,0.941,1,-0.553,-0.294,+0.308,-23.550,+0.000,+0.000,+0.000,51
abilene,spike_2x,20,2,oracle,0.061798,0.078875,0.083840,0,0,0.055049,41.79,0.941,1,-0.553,-0.294,+0.308,-23.550,+0.000,+0.000,+0.000,51
abilene,spike_2x,40,0,phase1,0.055439,0.066949,0.069554,0,0,0.036011,43.42,0.980,2,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,spike_2x,40,0,current_apg,0.055439,0.066949,0.069554,0,0,0.016200,42.45,0.922,2,+0.000,-0.000,-0.000,-55.015,+0.000,+0.000,+0.000,51
abilene,spike_2x,40,0,predictive,0.055439,0.066949,0.069554,0,0,0.016200,43.11,0.922,2,+0.000,-0.000,-0.000,-55.015,+0.000,+0.000,+0.000,51
abilene,spike_2x,40,0,oracle,0.055439,0.066949,0.069554,0,0,0.016200,42.69,0.922,2,+0.000,-0.000,-0.000,-55.015,+0.000,+0.000,+0.000,51
abilene,spike_2x,40,1,phase1,0.059171,0.070763,0.080288,0,0,0.036011,43.52,0.980,9,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,spike_2x,40,1,current_apg,0.059389,0.072707,0.080480,0,0,0.016200,42.52,0.922,9,+0.368,+2.747,+0.239,-55.015,+0.000,+0.000,+0.000,51
abilene,spike_2x,40,1,predictive,0.059389,0.072707,0.080480,0,0,0.016200,42.73,0.922,9,+0.368,+2.747,+0.239,-55.015,+0.000,+0.000,+0.000,51
abilene,spike_2x,40,1,oracle,0.059389,0.072707,0.080480,0,0,0.016200,42.43,0.922,9,+0.368,+2.747,+0.239,-55.015,+0.000,+0.000,+0.000,51
abilene,spike_2x,40,2,phase1,0.060781,0.071768,0.079355,0,0,0.036011,43.28,0.980,10,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,spike_2x,40,2,current_apg,0.061101,0.075230,0.079353,0,0,0.016200,47.50,0.922,10,+0.527,+4.824,-0.003,-55.015,+0.000,+0.000,+0.000,51
abilene,spike_2x,40,2,predictive,0.061101,0.075230,0.079353,0,0,0.016200,61.93,0.922,10,+0.527,+4.824,-0.003,-55.015,+0.000,+0.000,+0.000,51
abilene,spike_2x,40,2,oracle,0.061101,0.075230,0.079353,0,0,0.016200,53.92,0.922,10,+0.527,+4.824,-0.003,-55.015,+0.000,+0.000,+0.000,51
abilene,ramp_up,10,0,phase1,0.077681,0.097007,0.108704,0,0,0.028582,39.04,0.608,-1,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,ramp_up,10,0,current_apg,0.070281,0.089102,0.093171,0,0,0.044586,44.55,0.863,-1,-9.525,-8.149,-14.290,+55.994,+0.000,+0.000,+0.000,51
abilene,ramp_up,10,0,predictive,0.070281,0.089102,0.093171,0,0,0.044586,52.17,0.882,-1,-9.525,-8.149,-14.290,+55.994,+0.000,+0.000,+0.000,51
abilene,ramp_up,10,0,oracle,0.070281,0.089102,0.093171,0,0,0.044586,46.15,0.863,-1,-9.525,-8.149,-14.290,+55.994,+0.000,+0.000,+0.000,51
abilene,ramp_up,10,1,phase1,0.081700,0.105329,0.113173,0,0,0.028582,41.87,0.608,-1,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,ramp_up,10,1,current_apg,0.074597,0.093366,0.097244,0,0,0.044586,41.94,0.843,-1,-8.693,-11.357,-14.075,+55.994,+0.000,+0.000,+0.000,51
abilene,ramp_up,10,1,predictive,0.074597,0.093366,0.097244,0,0,0.044586,40.95,0.882,-1,-8.693,-11.357,-14.075,+55.994,+0.000,+0.000,+0.000,51
abilene,ramp_up,10,1,oracle,0.074597,0.093366,0.097244,0,0,0.044586,39.77,0.863,-1,-8.693,-11.357,-14.075,+55.994,+0.000,+0.000,+0.000,51
abilene,ramp_up,10,2,phase1,0.083790,0.108211,0.113313,0,0,0.028582,35.76,0.608,-1,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,ramp_up,10,2,current_apg,0.076934,0.096920,0.100998,0,0,0.044586,44.29,0.824,-1,-8.183,-10.434,-10.868,+55.994,+0.000,+0.000,+0.000,51
abilene,ramp_up,10,2,predictive,0.076934,0.096920,0.100998,0,0,0.044586,41.81,0.882,-1,-8.183,-10.434,-10.868,+55.994,+0.000,+0.000,+0.000,51
abilene,ramp_up,10,2,oracle,0.076934,0.096920,0.100998,0,0,0.044586,39.99,0.863,-1,-8.183,-10.434,-10.868,+55.994,+0.000,+0.000,+0.000,51
abilene,ramp_up,20,0,phase1,0.070271,0.089102,0.093171,0,0,0.054233,47.62,0.980,-1,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,ramp_up,20,0,current_apg,0.070271,0.089102,0.093171,0,0,0.057530,50.07,0.980,-1,+0.000,-0.000,-0.000,+6.079,+0.000,+0.000,+0.000,51
abilene,ramp_up,20,0,predictive,0.070271,0.089102,0.093171,0,0,0.049878,53.29,0.980,-1,-0.000,-0.000,-0.000,-8.030,-0.000,-0.000,-0.000,51
abilene,ramp_up,20,0,oracle,0.070271,0.089102,0.093171,0,0,0.057530,48.18,0.980,-1,+0.000,-0.000,-0.000,+6.079,+0.000,+0.000,+0.000,51
abilene,ramp_up,20,1,phase1,0.075072,0.093385,0.105720,0,0,0.054233,44.37,0.980,-1,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,ramp_up,20,1,current_apg,0.075023,0.093713,0.103274,0,0,0.057530,42.36,0.980,-1,-0.065,+0.351,-2.314,+6.079,+0.000,+0.000,+0.000,51
abilene,ramp_up,20,1,predictive,0.074875,0.092179,0.103284,0,0,0.049878,41.95,0.980,-1,-0.262,-1.292,-2.305,-8.030,-0.198,-1.637,+0.009,51
abilene,ramp_up,20,1,oracle,0.075023,0.093713,0.103274,0,0,0.057530,41.81,0.980,-1,-0.065,+0.351,-2.314,+6.079,+0.000,+0.000,+0.000,51
abilene,ramp_up,20,2,phase1,0.077721,0.098951,0.110773,0,0,0.054233,42.03,0.980,-1,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,ramp_up,20,2,current_apg,0.077791,0.099338,0.107049,0,0,0.057530,41.82,0.980,-1,+0.089,+0.390,-3.362,+6.079,+0.000,+0.000,+0.000,51
abilene,ramp_up,20,2,predictive,0.077791,0.099338,0.107049,0,0,0.057530,41.78,0.980,-1,+0.089,+0.390,-3.362,+6.079,+0.000,+0.000,+0.000,51
abilene,ramp_up,20,2,oracle,0.077791,0.099338,0.107049,0,0,0.057530,41.66,0.980,-1,+0.089,+0.390,-3.362,+6.079,+0.000,+0.000,+0.000,51
abilene,ramp_up,40,0,phase1,0.070271,0.089102,0.093171,0,0,0.033381,43.70,0.980,-1,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,ramp_up,40,0,current_apg,0.070271,0.089102,0.093171,0,0,0.013218,44.88,0.922,-1,+0.000,-0.000,-0.000,-60.404,+0.000,+0.000,+0.000,51
abilene,ramp_up,40,0,predictive,0.070271,0.089102,0.093171,0,0,0.013218,43.20,0.922,-1,+0.000,-0.000,-0.000,-60.404,+0.000,+0.000,+0.000,51
abilene,ramp_up,40,0,oracle,0.070271,0.089102,0.093171,0,0,0.013218,42.30,0.922,-1,+0.000,-0.000,-0.000,-60.404,+0.000,+0.000,+0.000,51
abilene,ramp_up,40,1,phase1,0.074755,0.094519,0.104054,0,0,0.033381,43.49,0.980,-1,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,ramp_up,40,1,current_apg,0.074787,0.094662,0.101925,0,0,0.013218,42.48,0.922,-1,+0.042,+0.152,-2.046,-60.404,+0.000,+0.000,+0.000,51
abilene,ramp_up,40,1,predictive,0.074787,0.094662,0.101925,0,0,0.013218,42.39,0.922,-1,+0.042,+0.152,-2.046,-60.404,+0.000,+0.000,+0.000,51
abilene,ramp_up,40,1,oracle,0.074787,0.094662,0.101925,0,0,0.013218,42.18,0.922,-1,+0.042,+0.152,-2.046,-60.404,+0.000,+0.000,+0.000,51
abilene,ramp_up,40,2,phase1,0.077143,0.096973,0.112048,0,0,0.033381,43.46,0.980,-1,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,ramp_up,40,2,current_apg,0.076344,0.100319,0.105981,0,0,0.013218,42.83,0.922,-1,-1.036,+3.451,-5.414,-60.404,+0.000,+0.000,+0.000,51
abilene,ramp_up,40,2,predictive,0.076344,0.100319,0.105981,0,0,0.013218,42.76,0.922,-1,-1.036,+3.451,-5.414,-60.404,+0.000,+0.000,+0.000,51
abilene,ramp_up,40,2,oracle,0.076344,0.100319,0.105981,0,0,0.013218,42.77,0.922,-1,-1.036,+3.451,-5.414,-60.404,+0.000,+0.000,+0.000,51
abilene,flash_crowd,10,0,phase1,0.059516,0.067390,0.069724,0,0,0.049347,35.38,0.627,2,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,flash_crowd,10,0,current_apg,0.053862,0.061356,0.063148,0,0,0.055299,39.65,0.843,3,-9.500,-8.954,-9.432,+12.061,+0.000,+0.000,+0.000,51
abilene,flash_crowd,10,0,predictive,0.053862,0.061356,0.063148,0,0,0.055299,39.72,0.843,3,-9.500,-8.954,-9.432,+12.061,+0.000,+0.000,+0.000,51
abilene,flash_crowd,10,0,oracle,0.054011,0.061579,0.063148,0,0,0.051317,39.42,0.804,3,-9.249,-8.622,-9.432,+3.992,+0.278,+0.364,+0.000,51
abilene,flash_crowd,10,1,phase1,0.062177,0.071197,0.075944,0,0,0.049347,35.27,0.627,2,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,flash_crowd,10,1,current_apg,0.057706,0.067785,0.071454,0,0,0.055299,39.90,0.843,-1,-7.190,-4.793,-5.912,+12.061,+0.000,+0.000,+0.000,51
abilene,flash_crowd,10,1,predictive,0.057706,0.067785,0.071454,0,0,0.055299,39.75,0.843,-1,-7.190,-4.793,-5.912,+12.061,+0.000,+0.000,+0.000,51
abilene,flash_crowd,10,1,oracle,0.057925,0.068169,0.071729,0,0,0.051317,39.35,0.804,-1,-6.838,-4.253,-5.551,+3.992,+0.379,+0.567,+0.384,51
abilene,flash_crowd,10,2,phase1,0.063731,0.071926,0.072195,0,0,0.049347,35.43,0.627,2,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,flash_crowd,10,2,current_apg,0.059015,0.071033,0.072736,0,0,0.055299,39.98,0.843,2,-7.398,-1.243,+0.750,+12.061,+0.000,+0.000,+0.000,51
abilene,flash_crowd,10,2,predictive,0.059415,0.072367,0.074965,0,0,0.055935,45.11,0.784,7,-6.772,+0.613,+3.836,+13.350,+0.676,+1.879,+3.064,51
abilene,flash_crowd,10,2,oracle,0.059180,0.071033,0.072736,0,0,0.051317,39.28,0.804,2,-7.140,-1.243,+0.750,+3.992,+0.279,+0.000,+0.000,51
abilene,flash_crowd,20,0,phase1,0.052710,0.059781,0.062052,0,0,0.084632,43.98,0.941,-1,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,flash_crowd,20,0,current_apg,0.052710,0.059781,0.062052,0,0,0.065962,47.46,0.941,-1,+0.000,-0.000,+0.000,-22.060,+0.000,+0.000,+0.000,51
abilene,flash_crowd,20,0,predictive,0.052710,0.059781,0.062052,0,0,0.064537,42.50,0.922,-1,+0.000,-0.000,+0.000,-23.744,-0.000,+0.000,+0.000,51
abilene,flash_crowd,20,0,oracle,0.052710,0.059781,0.062052,0,0,0.065962,42.59,0.941,-1,+0.000,-0.000,+0.000,-22.060,+0.000,+0.000,+0.000,51
abilene,flash_crowd,20,1,phase1,0.057352,0.066863,0.077243,0,0,0.084632,41.89,0.941,3,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,flash_crowd,20,1,current_apg,0.057014,0.067184,0.071692,0,0,0.065962,43.42,0.941,8,-0.590,+0.481,-7.186,-22.060,+0.000,+0.000,+0.000,51
abilene,flash_crowd,20,1,predictive,0.058218,0.068309,0.099530,0,0,0.064537,41.49,0.922,1,+1.510,+2.163,+28.853,-23.744,+2.112,+1.674,+38.830,51
abilene,flash_crowd,20,1,oracle,0.057014,0.067184,0.071692,0,0,0.065962,42.47,0.941,8,-0.590,+0.481,-7.186,-22.060,+0.000,+0.000,+0.000,51
abilene,flash_crowd,20,2,phase1,0.059502,0.069965,0.082968,0,0,0.084632,42.53,0.941,2,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,flash_crowd,20,2,current_apg,0.058979,0.070169,0.072845,0,0,0.065962,42.42,0.941,1,-0.880,+0.293,-12.201,-22.060,+0.000,+0.000,+0.000,51
abilene,flash_crowd,20,2,predictive,0.058979,0.070169,0.072845,0,0,0.065962,42.27,0.941,1,-0.880,+0.293,-12.201,-22.060,+0.000,+0.000,+0.000,51
abilene,flash_crowd,20,2,oracle,0.059190,0.070815,0.072845,0,0,0.056054,42.17,0.922,1,-0.525,+1.215,-12.201,-33.767,+0.358,+0.920,+0.000,51
abilene,flash_crowd,40,0,phase1,0.052601,0.059781,0.062052,0,0,0.037382,44.11,0.980,-1,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,flash_crowd,40,0,current_apg,0.052601,0.059781,0.062052,0,0,0.018092,42.95,0.922,-1,-0.000,-0.000,+0.000,-51.603,+0.000,+0.000,+0.000,51
abilene,flash_crowd,40,0,predictive,0.052601,0.059781,0.062052,0,0,0.018092,43.08,0.922,-1,-0.000,-0.000,+0.000,-51.603,+0.000,+0.000,+0.000,51
abilene,flash_crowd,40,0,oracle,0.052601,0.059781,0.062052,0,0,0.018092,43.07,0.922,-1,-0.000,-0.000,+0.000,-51.603,+0.000,+0.000,+0.000,51
abilene,flash_crowd,40,1,phase1,0.057049,0.066035,0.098593,0,0,0.037382,43.92,0.980,1,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,flash_crowd,40,1,current_apg,0.056305,0.065157,0.068156,0,0,0.018092,42.96,0.922,1,-1.304,-1.329,-30.871,-51.603,+0.000,+0.000,+0.000,51
abilene,flash_crowd,40,1,predictive,0.056305,0.065157,0.068156,0,0,0.018092,43.19,0.922,1,-1.304,-1.329,-30.871,-51.603,+0.000,+0.000,+0.000,51
abilene,flash_crowd,40,1,oracle,0.056305,0.065157,0.068156,0,0,0.018092,43.65,0.922,1,-1.304,-1.329,-30.871,-51.603,+0.000,+0.000,+0.000,51
abilene,flash_crowd,40,2,phase1,0.059905,0.074631,0.107235,0,0,0.037382,44.57,0.980,1,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
abilene,flash_crowd,40,2,current_apg,0.057877,0.068068,0.071845,0,0,0.018092,43.24,0.922,9,-3.385,-8.794,-33.002,-51.603,+0.000,+0.000,+0.000,51
abilene,flash_crowd,40,2,predictive,0.057877,0.068068,0.071845,0,0,0.018092,57.50,0.922,9,-3.385,-8.794,-33.002,-51.603,+0.000,+0.000,+0.000,51
abilene,flash_crowd,40,2,oracle,0.057877,0.068068,0.071845,0,0,0.018092,43.29,0.922,9,-3.385,-8.794,-33.002,-51.603,+0.000,+0.000,+0.000,51
cernet,normal,10,0,phase1,1649.969736,2070.833721,2107.620130,33,11,0.001188,66.13,0.804,1,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
cernet,normal,10,0,current_apg,1660.581763,2099.599669,2127.748461,32,11,0.002609,68.32,0.824,1,+0.643,+1.389,+0.955,+119.546,+0.000,+0.000,+0.000,51
cernet,normal,10,0,predictive,1660.728368,2099.599669,2127.748461,32,11,0.002291,80.86,0.843,1,+0.652,+1.389,+0.955,+92.763,+0.009,+0.000,+0.000,51
cernet,normal,10,0,oracle,1659.286082,2099.599669,2127.748461,32,11,0.002399,68.40,0.843,1,+0.565,+1.389,+0.955,+101.892,-0.078,+0.000,+0.000,51
cernet,normal,10,1,phase1,1647.656967,2057.966377,2107.620130,33,10,0.001188,68.30,0.804,15,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,51
cernet,normal,10,1,current_apg,1658.508832,2091.574506,2144.369318,31,10,0.002609,67.93,0.824,15,+0.659,+1.633,+1.744,+119.546,+0.000,+0.000,+0.000,51
cernet,normal,10,1,predictive,1658.176746,2091.574506,2144.369318,31,10,0.002291,68.50,0.843,14,+0.638,+1.633,+1.744,+92.763,-0.020,+0.000,+0.000,51
cernet,normal,10,1,oracle,1656.879359,2091.574506,2144.369318,31,10,0.002399,81.18,0.843,14,+0.560,+1.633,+1.744,+101.892,-0.098,+0.000,+0.000,51
